channel_id,title,subscriber_count,video_count,view_count
UCa9gErQ9AE5jT2DZLjXBIdA,Shaw Talebi,33500,101,1414326
UC0GmdVKZhMM3Rmielp4oVAA,Stefanovic,297000,88,11213730
UCqyBfm_H9ugGirk1ufYA2YA,Learnit Training,767000,1413,69794913
UCaDeziWjjPT2Q-Hz4BrmcbA,Natassha Selvaraj,19600,16,561192
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,4340000,7925,379917301
UCjIq0x8TCU2zH5GtCFKArJg,iDATA Analytics Hub,15000,38,772006
UCSxX7Vgyu9iThxPE1jSDFdw,Excel Campus - Jon,581000,432,63135405
UCw_LFe2pS8x3NyipGNJgeEA,Learn with Lukas,47100,141,3105479
UCZP8hpqsBxA-U-at2SRIooA,DataTechs Tutorials,9290,55,840072
UC0T6MVd3wQDB5ICAe45OxaQ,WsCube Tech,3550000,5315,310871279
UCNn0RxEv3sfBjL6uKymDqMQ,Learn Something,44500,125,7874073
UCcJXeizE8mKzrviYaU34b6A,Ayodele Ojo,1,1,32
UCuyfszBAd3gUt9vAbC1dfqA,Avery Smith | Data Analyst,16000,323,533672
UC_tgXLfHYVXFIe-8c4cRUNQ,Matt Mike,5420,64,229368
UClA6McOgpsViwULN4KFRx3Q,The Developer,16500,66,740960
UCQf9BYcqr8pzKrY14ZyMsbg,Code With Prince,10300,438,1020662
UC8uU_wruBMHeeRma49dtZKA,Chandoo,646000,490,50316516
UCiYjpuUaSfkvdZkmtDU7JRw,MyOnlineTrainingHub,645000,320,45393868
UC5CugyvTdOloiuTc9nN09TA,Pragmatic Works,235000,2159,32423220
UCAEgip72UcvYwjcqzcJ1I2g,DataScience RoadMap,19200,216,1122055
UCfJT_eYDTmDE-ovKaxVE1ig,Kevin Stratvert,3160000,883,445174583
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,248000,187,21481950
UCDybamfye5An6p-j1t2YMsg,Mo Chen,118000,183,4444014
UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst,853000,320,38835506
UCkHdBeQ4DuvBXTahMYZVlMA,Kenji Explains,575000,192,34649618
UCJQcQMHE4Cmn5JsSi8F1kcg,Data with Decision,62500,287,4010206
UCTHAIlSOqquwOKnd_nCJgAQ,My Lesson,289000,61,8498084
UC9dRRcnYpuzzV0VbrGX-RJA,Abdel Raouf Yessoufou,1700,19,185225
