viewCount,likeCount,favoriteCount,commentCount,videoId,channelId
596,22,0,0,TvchDiAzlJ4,UCzAF54cHk1ZO82af-8E3qOQ
1135,43,0,3,XkGb0g6B60Q,UCzAF54cHk1ZO82af-8E3qOQ
615,13,0,0,RW9TfADyEKU,UCzAF54cHk1ZO82af-8E3qOQ
4552,106,0,2,_Xi14DOE2GA,UCzAF54cHk1ZO82af-8E3qOQ
2317,81,0,0,Dbg9iy-tVX8,UCzAF54cHk1ZO82af-8E3qOQ
1858,78,0,2,yKlv3aM6kGo,UCzAF54cHk1ZO82af-8E3qOQ
2787,103,0,8,Q2csDJR6ouw,UCzAF54cHk1ZO82af-8E3qOQ
1994,88,0,1,xTlQGLkL5Xs,UCzAF54cHk1ZO82af-8E3qOQ
765,33,0,1,KJp-9GEk1a8,UCzAF54cHk1ZO82af-8E3qOQ
2035,78,0,2,OPZaTpozOck,UCzAF54cHk1ZO82af-8E3qOQ
3336,154,0,3,3QV37pVP-CI,UCzAF54cHk1ZO82af-8E3qOQ
1977,102,0,0,lLS3RXBUFEg,UCzAF54cHk1ZO82af-8E3qOQ
4897,166,0,4,xlvPpwe94cI,UCzAF54cHk1ZO82af-8E3qOQ
1499,118,0,0,h6xJDXovems,UCzAF54cHk1ZO82af-8E3qOQ
1301,92,0,2,yxiZ3MIGxS8,UCzAF54cHk1ZO82af-8E3qOQ
1334,77,0,0,mskGPuHz_fw,UCzAF54cHk1ZO82af-8E3qOQ
683,25,0,2,ynRZDrKJXDA,UCzAF54cHk1ZO82af-8E3qOQ
1408,92,0,0,lBPIPDmSsKo,UCzAF54cHk1ZO82af-8E3qOQ
0,10,0,0,O7Brfuq4qY4,UCzAF54cHk1ZO82af-8E3qOQ
1118,46,0,1,hspRmwWvt64,UCzAF54cHk1ZO82af-8E3qOQ
1038,30,0,0,7ePMQbq11Wc,UCzAF54cHk1ZO82af-8E3qOQ
836,31,0,1,7r6h57StUh4,UCzAF54cHk1ZO82af-8E3qOQ
2062,64,0,4,JYWj0J0_6-0,UCzAF54cHk1ZO82af-8E3qOQ
1469,47,0,2,Cu-XWueEJTg,UCzAF54cHk1ZO82af-8E3qOQ
1794,82,0,3,cHqcwPjBFTg,UCzAF54cHk1ZO82af-8E3qOQ
2671,91,0,2,GD1OatgtuFs,UCzAF54cHk1ZO82af-8E3qOQ
9438,496,0,13,sFWAgA8M5Vk,UCzAF54cHk1ZO82af-8E3qOQ
2449,99,0,4,uV0JiuocmsA,UCzAF54cHk1ZO82af-8E3qOQ
1827,78,0,2,i4vKOCMgdgc,UCzAF54cHk1ZO82af-8E3qOQ
7763,219,0,10,3oYwtzTqmkA,UCzAF54cHk1ZO82af-8E3qOQ
2088,101,0,1,-gK2BcrKbQc,UCzAF54cHk1ZO82af-8E3qOQ
1330,56,0,2,97oQc7fut_k,UCzAF54cHk1ZO82af-8E3qOQ
3656,120,0,7,X0Uhlw6PCRI,UCzAF54cHk1ZO82af-8E3qOQ
924,32,0,0,prHtMT0JhWE,UCzAF54cHk1ZO82af-8E3qOQ
988,31,0,3,BAhsVgrIVt4,UCzAF54cHk1ZO82af-8E3qOQ
1265,26,0,2,_gysQ_eBaAA,UCzAF54cHk1ZO82af-8E3qOQ
1597,51,0,7,j74E-aTXndI,UCzAF54cHk1ZO82af-8E3qOQ
2501,88,0,8,Xr-Tpr3foBc,UCzAF54cHk1ZO82af-8E3qOQ
1406,53,0,1,E6GFxFpfffA,UCzAF54cHk1ZO82af-8E3qOQ
659,14,0,4,JQNMw62KjiE,UCzAF54cHk1ZO82af-8E3qOQ
1836,76,0,4,NR6f-B4YjW0,UCzAF54cHk1ZO82af-8E3qOQ
1462,32,0,1,x0wH9KV8hAA,UCzAF54cHk1ZO82af-8E3qOQ
769,10,0,2,yFan-bkKxRI,UCzAF54cHk1ZO82af-8E3qOQ
1504,30,0,5,eVuYrooi2v0,UCzAF54cHk1ZO82af-8E3qOQ
825,32,0,6,lkIwAgF60N4,UCzAF54cHk1ZO82af-8E3qOQ
1437,43,0,3,yz157INDgyE,UCzAF54cHk1ZO82af-8E3qOQ
556,16,0,1,u1_F4G3GXl8,UCzAF54cHk1ZO82af-8E3qOQ
1746,55,0,3,jH03ZfnjXCE,UCzAF54cHk1ZO82af-8E3qOQ
2175,47,0,2,meWymQ37Gp4,UCzAF54cHk1ZO82af-8E3qOQ
2829,86,0,12,z3p83GR27YY,UCzAF54cHk1ZO82af-8E3qOQ
